_id,band_gap,new_band_gap
6141cf1aee0a3fd43fb479e7,0.3574,0.35
6141cf1ba05be5973bd77a73,1.1453,1.14
6141cf1b02d926221cabc553,0.3929,0.39
6141cf1b3ac25c70a5c6c841,0.3995,0.39
6141cf1b9cbada84a86767cd,1.8059,1.79
6141cf1bcc0e69a0cf28ab4b,1.1459,1.14
6141cf1bee0a3fd43fb479e9,0.3446,0.35
6141cf1c31cf3ef3d4a9ed4e,0.4187,0.42
6141cf1c4e27a1844a5f0006,1.1483,1.14
6141cf1c9cbada84a86767cf,1.8095,1.79
6141cf1ca05be5973bd77a75,1.1467,1.14
6141cf1cee0a3fd43fb479eb,0.4154,0.42
6141cf1d4e27a1844a5f0008,1.1456,1.14
6141cf1d31cf3ef3d4a9ed50,0.352,0.35
6141cf1e4e27a1844a5f000a,1.1465,1.14
6141cf1e4e27a1844a5f000c,1.1459,1.14
6141cf1ebaaf234b3529019a,1.0011,1
6141cf1f9cbada84a86767d5,1.8083,1.79
6141cf1fee0a3fd43fb479ef,0.423,0.42
6141cf1f31cf3ef3d4a9ed54,0.408,0.42
6141cf1f4e27a1844a5f000e,1.1446,1.14
6141cf209cbada84a86767d7,1.8098,1.79
6141cf20ee0a3fd43fb479f1,0.3578,0.35
6141cf204e27a1844a5f0010,1.1426,1.14
6141cf2031cf3ef3d4a9ed56,0.3552,0.35
6141cf213ac25c70a5c6c845,0.4249,0.42
6141cf219cbada84a86767d9,1.8094,1.79
6141cf21baaf234b3529019e,1.0998,1.11
6141cf21ee0a3fd43fb479f3,0.4346,0.42
6141cf21cc0e69a0cf28ab51,1.1486,1.14
6141cf214e27a1844a5f0012,1.1427,1.14
6141cf2202d926221cabc557,0.3824,0.39
6141cf221d648932fbc342a1,1.8024,1.79
6141cf229cbada84a86767db,1.8087,1.79
6141cf22ee0a3fd43fb479f5,0.3588,0.35
6141cf22a05be5973bd77a7d,1.1456,1.14
6141cf23cc0e69a0cf28ab53,1.1466,1.14
6141cf2331cf3ef3d4a9ed5a,0.3047,0.32
6141cf2351c1cbd9654b887a,1.111,1.11
6141cf24ee0a3fd43fb479f7,0.3607,0.35
6141cf251d648932fbc342a5,1.8025,1.79
6141cf25b842c2e72e2f2d60,1.807,1.79
6141cf25baaf234b352901a4,1.1048,1.11
6141cf25ee0a3fd43fb479f9,0.4129,0.42
6141cf254e27a1844a5f0018,1.1459,1.14
6141cf26baaf234b352901a6,1.0913,1.11
6141cf2731cf3ef3d4a9ed60,0.43,0.42
6141cf28cc0e69a0cf28ab55,1.1421,1.14
6141cf28baaf234b352901a8,1.1098,1.11
6141cf28ee0a3fd43fb479fd,0.2742,0.28
6141cf2931cf3ef3d4a9ed62,0.3487,0.35
6141cf2969b0784ffcf8f867,0.3526,0.35
6141cf294e27a1844a5f001c,1.1458,1.14
6141cf2abaaf234b352901aa,1.1048,1.11
6141cf2b9cbada84a86767e7,1.8093,1.79
6141cf2bbaaf234b352901ac,0.9963,1
6141cf2c9cbada84a86767e9,1.8069,1.79
6141cf2ccc0e69a0cf28ab57,1.1465,1.14
6141cf2dbaaf234b352901ae,0.9582,0.97
6141cf2d51c1cbd9654b887c,1.0933,1.11
6141cf2e69b0784ffcf8f869,0.3556,0.35
6141cf2e31cf3ef3d4a9ed68,0.3926,0.39
6141cf2eb842c2e72e2f2d62,1.8106,1.79
6141cf2e9cbada84a86767eb,1.8095,1.79
6141cf2fbaaf234b352901b0,1.1055,1.11
6141cf2f4e27a1844a5f0022,1.1447,1.14
6141cf303ac25c70a5c6c84d,0.4227,0.42
6141cf30a05be5973bd77a7f,1.1765,1.18
6141cf31baaf234b352901b2,1.1052,1.11
6141cf31ee0a3fd43fb47a07,0.359,0.35
6141cf314e27a1844a5f0024,1.146,1.14
6141cf319cbada84a86767ef,1.8089,1.79
6141cf3131cf3ef3d4a9ed6c,0.4283,0.42
6141cf324e27a1844a5f0026,1.1472,1.14
6141cf32baaf234b352901b4,1.1093,1.11
6141cf329cbada84a86767f1,1.8082,1.79
6141cf3451c1cbd9654b887e,1.0894,1.07
6141cf34baaf234b352901b6,1.0941,1.11
6141cf353ac25c70a5c6c84f,0.3931,0.39
6141cf3531cf3ef3d4a9ed70,0.3516,0.35
6141cf36baaf234b352901b8,1.102,1.11
6141cf36ee0a3fd43fb47a0d,0.3576,0.35
6141cf389cbada84a86767f7,1.8086,1.79
6141cf3802d926221cabc55b,0.3955,0.39
6141cf3931cf3ef3d4a9ed74,0.4192,0.42
6141cf399cbada84a86767f9,1.8086,1.79
6141cf3a3ac25c70a5c6c851,0.3603,0.35
6141cf3a4e27a1844a5f002e,1.1391,1.14
6141cf3bcc0e69a0cf28ab5b,1.143,1.14
6141cf3bee0a3fd43fb47a11,0.3543,0.35
6141cf3b9cbada84a86767fb,1.809,1.79
6141cf3c4e27a1844a5f0030,1.1371,1.14
6141cf3dee0a3fd43fb47a13,0.4285,0.42
6141cf3d31cf3ef3d4a9ed78,0.3572,0.35
6141cf3dbaaf234b352901be,1.1099,1.11
6141cf3f31cf3ef3d4a9ed7a,0.3009,0.32
6141cf3fee0a3fd43fb47a15,0.3601,0.35
6141cf4131cf3ef3d4a9ed7c,0.3016,0.32
6141cf41ee0a3fd43fb47a17,0.3582,0.35
6141cf4269b0784ffcf8f86b,0.3591,0.35
6141cf42baaf234b352901c2,1.0412,1.04
6141cf424e27a1844a5f0036,1.1454,1.14
6141cf4331cf3ef3d4a9ed7e,0.4229,0.42
6141cf44ee0a3fd43fb47a19,0.3609,0.35
6141cf449cbada84a8676803,1.8087,1.79
6141cf44baaf234b352901c4,1.0804,1.07
6141cf4851c1cbd9654b8880,1.1101,1.11
6141cf494e27a1844a5f003c,1.1462,1.14
6141cf499cbada84a8676807,1.8099,1.79
6141cf4abaaf234b352901c8,1.0818,1.07
6141cf4b31cf3ef3d4a9ed84,0.3583,0.35
6141cf4b3ac25c70a5c6c857,0.3517,0.35
6141cf4b4e27a1844a5f003e,1.1808,1.18
6141cf4d31cf3ef3d4a9ed86,0.4165,0.42
6141cf4eee0a3fd43fb47a21,0.3907,0.39
6141cf4e4e27a1844a5f0040,1.1439,1.14
6141cf5031cf3ef3d4a9ed88,0.3556,0.35
6141cf50cc0e69a0cf28ab5f,1.147,1.14
6141cf50ee0a3fd43fb47a23,0.3558,0.35
6141cf513ac25c70a5c6c859,0.406,0.42
6141cf519cbada84a867680d,1.8086,1.79
6141cf52baaf234b352901ce,1.0997,1.11
6141cf53ee0a3fd43fb47a25,0.3506,0.35
6141cf5431cf3ef3d4a9ed8a,0.4135,0.42
6141cf55cc0e69a0cf28ab61,1.1494,1.14
6141cf55baaf234b352901d0,1.1191,1.11
6141cf554e27a1844a5f0046,1.1718,1.18
6141cf55ee0a3fd43fb47a27,0.4194,0.42
6141cf5631cf3ef3d4a9ed8c,0.299,0.28
6141cf57a05be5973bd77a83,1.1469,1.14
6141cf573ac25c70a5c6c85b,0.3899,0.39
6141cf589cbada84a8676813,1.8084,1.79
6141cf5a9cbada84a8676815,1.8095,1.79
6141cf5abaaf234b352901d4,1.002,1
6141cf5bee0a3fd43fb47a2b,0.3514,0.35
6141cf5d9cbada84a8676817,1.8102,1.79
6141cf5dbaaf234b352901d6,1.0836,1.07
6141cf5dee0a3fd43fb47a2d,0.3017,0.32
6141cf5f31cf3ef3d4a9ed92,0.4296,0.42
6141cf609cbada84a8676819,1.8079,1.79
6141cf60ee0a3fd43fb47a2f,0.2663,0.28
6141cf629cbada84a867681b,1.8062,1.79
6141cf64baaf234b352901da,1.0907,1.11
6141cf6431cf3ef3d4a9ed96,0.41,0.42
6141cf659cbada84a867681d,1.8083,1.79
6141cf66ee0a3fd43fb47a33,0.3527,0.35
6141cf67baaf234b352901dc,1.1108,1.11
6141cf6731cf3ef3d4a9ed98,0.302,0.32
6141cf684e27a1844a5f0054,1.1458,1.14
6141cf6b4e27a1844a5f0056,1.1477,1.14
6141cf6c31cf3ef3d4a9ed9a,0.3011,0.32
6141cf6cee0a3fd43fb47a37,0.3574,0.35
6141cf6d51c1cbd9654b8882,0.6531,0.66
6141cf6e9cbada84a8676823,1.8079,1.79
6141cf6ebaaf234b352901e0,1.0846,1.07
6141cf6f31cf3ef3d4a9ed9c,0.3562,0.35
6141cf6fcc0e69a0cf28ab63,1.1452,1.14
6141cf719cbada84a8676825,1.8083,1.79
6141cf714e27a1844a5f005a,1.1464,1.14
6141cf7231cf3ef3d4a9ed9e,0.427,0.42
6141cf72cc0e69a0cf28ab65,1.1379,1.14
6141cf73ee0a3fd43fb47a39,0.3574,0.35
6141cf749cbada84a8676827,1.809,1.79
6141cf744e27a1844a5f005c,1.1802,1.18
6141cf763ac25c70a5c6c863,0.4025,0.39
6141cf769cbada84a8676829,1.8087,1.79
6141cf774e27a1844a5f005e,1.1817,1.18
6141cf7831cf3ef3d4a9eda2,0.302,0.32
6141cf79baaf234b352901e6,1.0911,1.11
6141cf799cbada84a867682b,1.8087,1.79
6141cf7a4e27a1844a5f0060,1.145,1.14
6141cf7dee0a3fd43fb47a3f,0.2766,0.28
6141cf7e3ac25c70a5c6c865,0.4209,0.42
6141cf7e31cf3ef3d4a9eda6,0.3919,0.39
6141cf814e27a1844a5f0064,1.145,1.14
6141cf8131cf3ef3d4a9eda8,0.4289,0.42
6141cf83baaf234b352901ea,1.0847,1.07
6141cf849cbada84a8676831,1.809,1.79
6141cf8531cf3ef3d4a9edaa,0.3967,0.39
6141cf863ac25c70a5c6c867,0.4053,0.42
6141cf87baaf234b352901ec,1.101,1.11
6141cf8831cf3ef3d4a9edac,0.4259,0.42
6141cf8aee0a3fd43fb47a47,0.3587,0.35
6141cf8bbaaf234b352901ee,1.0015,1
6141cf8eee0a3fd43fb47a49,0.3599,0.35
6141cf8e31cf3ef3d4a9edb0,0.419,0.42
6141cf90cc0e69a0cf28ab6b,1.1456,1.14
6141cf91ee0a3fd43fb47a4b,0.3556,0.35
6141cf94baaf234b352901f2,1.0878,1.07
6141cf944e27a1844a5f006e,1.1425,1.14
6141cf95ee0a3fd43fb47a4d,0.4293,0.42
6141cf984e27a1844a5f0070,1.1438,1.14
6141cf9cee0a3fd43fb47a51,0.4274,0.42
6141cf9d31cf3ef3d4a9edb8,0.4158,0.42
6141cfa04e27a1844a5f0074,1.1467,1.14
6141cfa0baaf234b352901f8,1.084,1.07
6141cfa0ee0a3fd43fb47a53,0.431,0.42
6141cfa09cbada84a8676841,1.8083,1.79
6141cfa4ee0a3fd43fb47a55,0.357,0.35
6141cfa84e27a1844a5f0078,1.1456,1.14
6141cfa89cbada84a8676845,1.8089,1.79
6141cfa831cf3ef3d4a9edbe,0.4001,0.39
6141cfa9baaf234b352901fc,1.1041,1.11
6141cfacee0a3fd43fb47a59,0.3584,0.35
6141cfac9cbada84a8676847,1.8086,1.79
6141cfac3ac25c70a5c6c86f,0.4204,0.42
6141cfaf4e27a1844a5f007c,1.1496,1.14
6141cfb09cbada84a8676849,1.8075,1.79
6141cfb131cf3ef3d4a9edc2,0.3901,0.39
6141cfb2baaf234b35290200,1.1079,1.11
6141cfb49cbada84a867684b,1.8057,1.79
6141cfb531cf3ef3d4a9edc4,0.4047,0.42
6141cfb6baaf234b35290202,1.1083,1.11
6141cfb74e27a1844a5f0080,1.1443,1.14
6141cfb89cbada84a867684d,1.8084,1.79
6141cfbd31cf3ef3d4a9edc8,0.4291,0.42
6141cfc0ee0a3fd43fb47a61,0.3595,0.35
6141cfc09cbada84a8676851,1.8088,1.79
6141cfc231cf3ef3d4a9edca,0.3069,0.32
6141cfc99cbada84a8676855,1.8077,1.79
6141cfc93ac25c70a5c6c875,0.4057,0.42
6141cfcdee0a3fd43fb47a67,0.3588,0.35
6141cfcf4e27a1844a5f008c,1.1454,1.14
6141cfd2baaf234b3529020e,1.1113,1.11
6141cfd2ee0a3fd43fb47a69,0.3564,0.35
6141cfd34e27a1844a5f008e,1.1294,1.14
6141cfd43ac25c70a5c6c877,0.426,0.42
6141cfd531cf3ef3d4a9edd2,0.4254,0.42
6141cfd79cbada84a867685b,1.8072,1.79
6141cfd7baaf234b35290210,1.0016,1
6141cfd931cf3ef3d4a9edd4,0.3997,0.39
6141cfdbee0a3fd43fb47a6d,0.3565,0.35
6141cfdc9cbada84a867685d,1.808,1.79
6141cfdc4e27a1844a5f0092,1.1454,1.14
6141cfe0baaf234b35290214,1.1102,1.11
6141cfe14e27a1844a5f0094,1.1457,1.14
6141cfe331cf3ef3d4a9edd8,0.2763,0.28
6141cfe54e27a1844a5f0096,1.1457,1.14
6141cfe5baaf234b35290216,1.1099,1.11
6141cfe831cf3ef3d4a9edda,0.352,0.35
6141cfea4e27a1844a5f0098,1.1477,1.14
6141cfea3ac25c70a5c6c87b,0.4058,0.42
6141cfeaee0a3fd43fb47a71,0.3579,0.35
6141cfed51c1cbd9654b888a,1.1091,1.11
6141cfef4e27a1844a5f009a,1.1466,1.14
6141cff0baaf234b3529021a,1.1068,1.11
6141cff44e27a1844a5f009c,1.1447,1.14
6141cff5baaf234b3529021c,1.1007,1.11
6141cff631cf3ef3d4a9ede0,0.4014,0.39
6141cff94e27a1844a5f009e,1.1396,1.14
6141cff99cbada84a8676867,1.8088,1.79
6141cff9ee0a3fd43fb47a77,0.3548,0.35
6141cffabaaf234b3529021e,1.1242,1.14
6141cffb51c1cbd9654b888c,1.1099,1.11
6141cffb31cf3ef3d4a9ede2,0.2747,0.28
6141cffeee0a3fd43fb47a79,0.4293,0.42
6141d0029cbada84a867686b,1.8083,1.79
6141d0024e27a1844a5f00a2,1.1401,1.14
6141d00531cf3ef3d4a9ede6,0.358,0.35
6141d007ee0a3fd43fb47a7d,0.2725,0.28
6141d00951c1cbd9654b888e,1.039,1.04
6141d00a31cf3ef3d4a9ede8,0.275,0.28
6141d00cee0a3fd43fb47a7f,0.2754,0.28
6141d00e9cbada84a867686f,1.8085,1.79
6141d0103ac25c70a5c6c881,0.4187,0.42
6141d0139cbada84a8676871,1.8076,1.79
6141d01431cf3ef3d4a9edec,0.4315,0.42
6141d0154e27a1844a5f00aa,1.1472,1.14
6141d0189cbada84a8676873,1.8104,1.79
6141d01d3ac25c70a5c6c883,0.4083,0.42
6141d01e31cf3ef3d4a9edf0,0.3518,0.35
6141d023baaf234b3529022c,1.0842,1.07
6141d02431cf3ef3d4a9edf2,0.4323,0.42
6141d025ee0a3fd43fb47a87,0.3564,0.35
6141d0284e27a1844a5f00b2,1.146,1.14
6141d029baaf234b3529022e,1.1091,1.11
6141d02aee0a3fd43fb47a89,0.3506,0.35
6141d02d4e27a1844a5f00b4,1.1428,1.14
6141d03331cf3ef3d4a9edf8,0.3571,0.35
6141d034baaf234b35290230,1.1117,1.11
6141d035ee0a3fd43fb47a8d,0.3619,0.35
6141d03831cf3ef3d4a9edfa,0.3521,0.35
6141d03c4e27a1844a5f00ba,1.1452,1.14
6141d03e31cf3ef3d4a9edfc,0.353,0.35
6141d0414e27a1844a5f00bc,1.1404,1.14
6141d046baaf234b35290236,1.1093,1.11
6141d0469cbada84a8676883,1.8101,1.79
6141d0463ac25c70a5c6c889,0.299,0.28
6141d04c9cbada84a8676885,1.8084,1.79
6141d04d31cf3ef3d4a9ee00,0.299,0.28
6141d0524e27a1844a5f00c2,1.1486,1.14
6141d052ee0a3fd43fb47a97,0.4327,0.42
6141d05331cf3ef3d4a9ee02,0.3997,0.39
6141d0574e27a1844a5f00c4,1.1437,1.14
6141d05d4e27a1844a5f00c6,1.144,1.14
6141d05fbaaf234b3529023e,1.095,1.11
6141d0634e27a1844a5f00c8,1.1445,1.14
6141d0699cbada84a867688d,1.8081,1.79
6141d069ee0a3fd43fb47a9f,0.4153,0.42
6141d06a31cf3ef3d4a9ee0a,0.4338,0.42
6141d06cbaaf234b35290242,1.1103,1.11
6141d0719cbada84a867688f,1.8093,1.79
6141d0754e27a1844a5f00ce,1.1396,1.14
6141d07c4e27a1844a5f00d0,1.15,1.14
6141d080baaf234b35290248,0.6529,0.66
6141d0829cbada84a8676895,1.809,1.79
6141d086baaf234b3529024a,1.0989,1.11
6141d087ee0a3fd43fb47aa9,0.2765,0.28
6141d0884e27a1844a5f00d4,1.1784,1.18
6141d08dbaaf234b3529024c,1.109,1.11
6141d08dee0a3fd43fb47aab,0.3519,0.35
6141d08e31cf3ef3d4a9ee16,0.2964,0.28
6141d08e4e27a1844a5f00d6,1.149,1.14
6141d0909cbada84a8676899,1.8076,1.79
6141d0913ac25c70a5c6c893,0.3557,0.35
6141d09431cf3ef3d4a9ee18,0.4242,0.42
6141d0944e27a1844a5f00d8,1.1427,1.14
6141d099ee0a3fd43fb47aaf,0.4304,0.42
6141d09b4e27a1844a5f00da,1.1468,1.14
6141d09c9cbada84a867689d,1.8079,1.79
6141d0a14e27a1844a5f00dc,1.1406,1.14
6141d0a3baaf234b35290252,1.0949,1.11
6141d0a731cf3ef3d4a9ee1e,0.3571,0.35
6141d0a99cbada84a86768a1,1.8095,1.79
6141d0aabaaf234b35290254,1.1046,1.11
6141d0ad31cf3ef3d4a9ee20,0.4084,0.42
6141d0af3ac25c70a5c6c897,0.1721,0.18
6141d0b431cf3ef3d4a9ee22,0.3573,0.35
6141d0b54e27a1844a5f00e2,1.142,1.14
6141d0b89cbada84a86768a5,1.8084,1.79
6141d0b9baaf234b35290258,1.0843,1.07
6141d0bcee0a3fd43fb47ab7,0.4232,0.42
6141d0bd31cf3ef3d4a9ee24,0.3559,0.35
6141d0bf3ac25c70a5c6c899,0.4231,0.42
6141d0c34e27a1844a5f00e6,1.1422,1.14
6141d0c59cbada84a86768a9,1.8103,1.79
6141d0c931cf3ef3d4a9ee28,0.4039,0.42
6141d0cc9cbada84a86768ab,1.809,1.79
6141d0d29cbada84a86768ad,1.8086,1.79
6141d0dabaaf234b35290260,1.0837,1.07
6141d0dd31cf3ef3d4a9ee2e,0.3696,0.39
6141d0de4e27a1844a5f00ee,1.1788,1.18
6141d0e151c1cbd9654b8894,1.0017,1
6141d0e2baaf234b35290262,0.6532,0.66
6141d0e331cf3ef3d4a9ee30,0.2711,0.28
6141d0e54e27a1844a5f00f0,1.1453,1.14
6141d0e63ac25c70a5c6c89d,0.3515,0.35
6141d0e9ee0a3fd43fb47ac3,0.3586,0.35
6141d0e9baaf234b35290264,1.1074,1.11
6141d0eb9cbada84a86768b1,1.8084,1.79
6141d0ee31cf3ef3d4a9ee32,0.355,0.35
6141d0f29cbada84a86768b3,1.8093,1.79
6141d0f44e27a1844a5f00f4,1.1468,1.14
6141d0f9baaf234b35290268,1.1184,1.11
6141d0f99cbada84a86768b5,1.8085,1.79
6141d0fb4e27a1844a5f00f6,1.1438,1.14
6141d1063ac25c70a5c6c8a1,0.4174,0.42
6141d10eee0a3fd43fb47acb,0.3598,0.35
6141d1104e27a1844a5f00fc,1.1465,1.14
6141d1159cbada84a86768bd,1.8093,1.79
6141d118baaf234b35290270,1.0808,1.07
6141d11931cf3ef3d4a9ee3c,0.4249,0.42
6141d12031cf3ef3d4a9ee3e,0.4163,0.42
6141d123ee0a3fd43fb47ad1,0.3931,0.39
6141d12731cf3ef3d4a9ee40,0.3644,0.35
6141d1283ac25c70a5c6c8a5,0.2742,0.28
6141d128baaf234b35290274,1.0851,1.07
6141d12aee0a3fd43fb47ad3,0.3588,0.35
6141d12e31cf3ef3d4a9ee42,0.3518,0.35
6141d1334e27a1844a5f0104,1.145,1.14
6141d13631cf3ef3d4a9ee44,0.3883,0.39
6141d13b4e27a1844a5f0106,1.1497,1.14
6141d1419cbada84a86768c9,1.8094,1.79
6141d1434e27a1844a5f0108,1.1484,1.14
6141d14631cf3ef3d4a9ee48,0.415,0.42
6141d14e3ac25c70a5c6c8a9,0.3922,0.39
6141d14eee0a3fd43fb47adb,0.436,0.42
6141d14ebaaf234b3529027c,1.1048,1.11
6141d1534e27a1844a5f010c,1.1478,1.14
6141d15bbaaf234b3529027e,1.1055,1.11
6141d15d31cf3ef3d4a9ee4e,0.419,0.42
6141d1613ac25c70a5c6c8ab,0.2831,0.28
6141d1634e27a1844a5f0110,1.1382,1.14
6141d164baaf234b35290280,1.1077,1.11
6141d16431cf3ef3d4a9ee50,0.3864,0.39
6141d1659cbada84a86768d1,1.8092,1.79
6141d16aee0a3fd43fb47ae1,0.4335,0.42
6141d16b4e27a1844a5f0112,1.1424,1.14
6141d16d9cbada84a86768d3,1.8102,1.79
6141d172ee0a3fd43fb47ae3,0.359,0.35
6141d1734e27a1844a5f0114,1.1348,1.14
6141d1743ac25c70a5c6c8ad,0.2605,0.25
6141d17631cf3ef3d4a9ee54,0.394,0.39
6141d179baaf234b35290284,1.1062,1.11
6141d179ee0a3fd43fb47ae5,0.3599,0.35
6141d17d9cbada84a86768d7,1.8093,1.79
6141d17e31cf3ef3d4a9ee56,0.2749,0.28
6141d1859cbada84a86768d9,1.8095,1.79
6141d18631cf3ef3d4a9ee58,0.3532,0.35
6141d189ee0a3fd43fb47ae9,0.3592,0.35
6141d18d9cbada84a86768db,1.8087,1.79
6141d190ee0a3fd43fb47aeb,0.4181,0.42
6141d1949cbada84a86768dd,1.8091,1.79
6141d19431cf3ef3d4a9ee5c,0.4014,0.39
6141d198ee0a3fd43fb47aed,0.2984,0.28
6141d19b3ac25c70a5c6c8b1,0.4099,0.42
6141d19bbaaf234b3529028a,1.0958,1.11
6141d19c9cbada84a86768df,1.8093,1.79
6141d1a4baaf234b3529028c,1.0999,1.11
6141d1a49cbada84a86768e1,1.8056,1.79
6141d1a531cf3ef3d4a9ee60,0.4176,0.42
6141d1ac9cbada84a86768e3,1.8062,1.79
6141d1ad31cf3ef3d4a9ee62,0.4216,0.42
6141d1b6baaf234b35290290,0.652,0.66
6141d1bd4e27a1844a5f0126,1.1474,1.14
6141d1c531cf3ef3d4a9ee68,0.3526,0.35
6141d1c8ee0a3fd43fb47af5,0.3573,0.35
6141d1cd31cf3ef3d4a9ee6a,0.4001,0.39
6141d1cf9cbada84a86768eb,1.8079,1.79
6141d1d1baaf234b35290294,1.1017,1.11
6141d1d64e27a1844a5f012c,1.1469,1.14
6141d1e2ee0a3fd43fb47afb,0.3587,0.35
6141d1e59cbada84a86768ed,1.8072,1.79
6141d1e74e27a1844a5f0130,1.1445,1.14
6141d1ecbaaf234b3529029a,1.104,1.11
6141d1ee9cbada84a86768ef,1.8092,1.79
6141d1ef4e27a1844a5f0132,1.147,1.14
6141d1ef31cf3ef3d4a9ee72,0.4284,0.42
6141d1f3ee0a3fd43fb47aff,0.3488,0.35
6141d1f6baaf234b3529029c,1.0871,1.07
6141d1f69cbada84a86768f1,1.8095,1.79
6141d1f831cf3ef3d4a9ee74,0.4225,0.42
6141d20031cf3ef3d4a9ee76,0.3962,0.39
6141d20931cf3ef3d4a9ee78,0.278,0.28
6141d2094e27a1844a5f0138,1.1438,1.14
6141d2113ac25c70a5c6c8bb,0.2971,0.28
6141d21131cf3ef3d4a9ee7a,0.4022,0.39
6141d2124e27a1844a5f013a,1.1438,1.14
6141d216ee0a3fd43fb47b07,0.2773,0.28
6141d21b4e27a1844a5f013c,1.1466,1.14
6141d2244e27a1844a5f013e,1.1383,1.14
6141d2259cbada84a86768f9,1.809,1.79
6141d227baaf234b352902a4,1.1097,1.11
6141d228ee0a3fd43fb47b0b,0.3717,0.39
6141d22b31cf3ef3d4a9ee7e,0.3997,0.39
6141d230baaf234b352902a6,0.65,0.66
6141d2344e27a1844a5f0140,1.1465,1.14
6141d23431cf3ef3d4a9ee80,0.3924,0.39
6141d23d31cf3ef3d4a9ee82,0.3975,0.39
6141d23d3ac25c70a5c6c8bf,0.3478,0.35
6141d23f9cbada84a86768ff,1.8074,1.79
6141d2424e27a1844a5f0142,1.1434,1.14
6141d244baaf234b352902aa,1.0897,1.11
6141d2489cbada84a8676901,1.809,1.79
6141d24b4e27a1844a5f0144,1.1519,1.14
6141d24e31cf3ef3d4a9ee86,0.301,0.32
6141d2519cbada84a8676903,1.8068,1.79
6141d254ee0a3fd43fb47b15,0.3584,0.35
6141d2554e27a1844a5f0146,1.1378,1.14
6141d261baaf234b352902b0,1.1075,1.11
6141d2649cbada84a8676907,1.8089,1.79
6141d2674e27a1844a5f014a,1.1461,1.14
6141d26931cf3ef3d4a9ee8c,0.3887,0.39
6141d26c3ac25c70a5c6c8c3,0.2827,0.28
6141d26c9cbada84a8676909,1.8098,1.79
6141d2759cbada84a867690b,1.8087,1.79
6141d276baaf234b352902b4,0.9428,0.94
6141d279ee0a3fd43fb47b1d,0.3579,0.35
6141d27b31cf3ef3d4a9ee90,0.3999,0.39
6141d2823ac25c70a5c6c8c5,0.4195,0.42
6141d283ee0a3fd43fb47b1f,0.3521,0.35
6141d28431cf3ef3d4a9ee92,0.3003,0.32
6141d2919cbada84a8676911,1.8081,1.79
6141d2954e27a1844a5f0152,1.1458,1.14
6141d29a3ac25c70a5c6c8c7,0.3498,0.35
6141d2a84e27a1844a5f0156,1.1459,1.14
6141d2ac9cbada84a8676915,1.8081,1.79
6141d2b24e27a1844a5f0158,1.1404,1.14
6141d2b331cf3ef3d4a9ee9c,0.4029,0.39
6141d2b69cbada84a8676917,1.8087,1.79
6141d2bc4e27a1844a5f015a,1.1466,1.14
